utc_timestamp,BE
2013-03-13 10:00:00,12291.0
2013-03-13 11:00:00,12186.0
2013-03-13 12:00:00,12069.0
2013-03-13 13:00:00,11736.0
2013-03-13 14:00:00,11834.0
2013-03-13 15:00:00,11756.0
2013-03-13 16:00:00,11675.0
2013-03-13 17:00:00,11921.0
2013-03-13 18:00:00,12373.0
2013-03-13 19:00:00,11809.0
2013-03-13 20:00:00,11332.0
2013-03-13 21:00:00,11572.0
2013-03-13 22:00:00,11566.0
2013-03-13 23:00:00,11009.0
2013-03-14 00:00:00,10658.0
2013-03-14 01:00:00,10271.0
2013-03-14 02:00:00,9946.0
2013-03-14 03:00:00,9847.0
2013-03-14 04:00:00,10125.0
2013-03-14 05:00:00,11209.0
2013-03-14 06:00:00,11596.0
2013-03-14 07:00:00,11728.0
2013-03-14 08:00:00,12183.0
2013-03-14 09:00:00,12085.0
2013-03-14 10:00:00,12092.0
2013-03-14 11:00:00,11681.0
2013-03-14 12:00:00,11521.0
2013-03-14 13:00:00,11547.0
2013-03-14 14:00:00,11561.0
2013-03-14 15:00:00,11463.0
2013-03-14 16:00:00,11478.0
2013-03-14 17:00:00,11653.0
2013-03-14 18:00:00,12269.0
2013-03-14 19:00:00,11817.0
2013-03-14 20:00:00,11367.0
2013-03-14 21:00:00,11651.0
2013-03-14 22:00:00,11693.0
2013-03-14 23:00:00,11185.0
2013-03-15 00:00:00,10640.0
2013-03-15 01:00:00,10223.0
2013-03-15 02:00:00,10011.0
2013-03-15 03:00:00,9928.0
2013-03-15 04:00:00,10307.0
2013-03-15 05:00:00,11280.0
2013-03-15 06:00:00,11693.0
2013-03-15 07:00:00,11911.0
2013-03-15 08:00:00,12076.0
2013-03-15 09:00:00,12223.0
2013-03-15 10:00:00,11916.0
2013-03-15 11:00:00,11757.0
2013-03-15 12:00:00,11734.0
2013-03-15 13:00:00,11425.0
2013-03-15 14:00:00,11377.0
2013-03-15 15:00:00,11302.0
2013-03-15 16:00:00,11348.0
2013-03-15 17:00:00,11512.0
2013-03-15 18:00:00,11893.0
2013-03-15 19:00:00,11351.0
2013-03-15 20:00:00,10786.0
2013-03-15 21:00:00,11043.0
2013-03-15 22:00:00,11172.0
2013-03-15 23:00:00,10673.0
2013-03-16 00:00:00,10039.0
2013-03-16 01:00:00,9565.0
2013-03-16 02:00:00,9175.0
2013-03-16 03:00:00,9040.0
2013-03-16 04:00:00,8927.0
2013-03-16 05:00:00,9207.0
2013-03-16 06:00:00,9208.0
2013-03-16 07:00:00,9809.0
2013-03-16 08:00:00,10518.0
2013-03-16 09:00:00,10593.0
2013-03-16 10:00:00,10781.0
2013-03-16 11:00:00,10712.0
2013-03-16 12:00:00,10415.0
2013-03-16 13:00:00,10085.0
2013-03-16 14:00:00,9974.0
2013-03-16 15:00:00,9985.0
2013-03-16 16:00:00,10114.0
2013-03-16 17:00:00,10325.0
2013-03-16 18:00:00,10740.0
2013-03-16 19:00:00,10279.0
2013-03-16 20:00:00,9803.0
2013-03-16 21:00:00,10009.0
2013-03-16 22:00:00,10232.0
2013-03-16 23:00:00,9779.0
2013-03-17 00:00:00,9324.0
2013-03-17 01:00:00,8912.0
2013-03-17 02:00:00,8590.0
2013-03-17 03:00:00,8488.0
2013-03-17 04:00:00,8433.0
2013-03-17 05:00:00,8537.0
2013-03-17 06:00:00,8340.0
2013-03-17 07:00:00,8765.0
2013-03-17 08:00:00,9498.0
2013-03-17 09:00:00,9541.0
2013-03-17 10:00:00,9984.0
2013-03-17 11:00:00,9989.0
2013-03-17 12:00:00,9529.0
2013-03-17 13:00:00,9256.0
2013-03-17 14:00:00,9336.0
2013-03-17 15:00:00,9134.0
2013-03-17 16:00:00,9342.0
2013-03-17 17:00:00,10020.0
2013-03-17 18:00:00,10599.0
2013-03-17 19:00:00,10193.0
2013-03-17 20:00:00,9790.0
2013-03-17 21:00:00,10010.0
2013-03-17 22:00:00,9922.0
2013-03-17 23:00:00,9270.0
2013-03-18 00:00:00,8874.0
